#321120595 Attempt: 1 NumFcs=3 (FCPro - Solved)
83 14 15 1c 12 7b 71 c1 3c 73 
7a b7 3b c3 1c 81 81 c8 7c 71 
c1 61 74 2c 27 a2 32 b3 c7 5c 
15 1b 1a 18 a8 b8 58 c5 4c 4b 
4a b4 c4 5c 85 c8 1c 1b 14 b1 
c1 6c 1b 14 b4 1b 16 71 76 16 
27 21 71 27 a2 3a 37 b3 85 8b 
17 a1 4a 43 a3 6a c6 8c 83 c3 
b3 4c 4b 42 b2 c2 53 5c 8b 82 
b2 a8 3b 3a c3 b3 5c 5b 51 57 
45 ah 6h 54 86 8a 15 71 57 b5 
4b 45 4h b5 46 3b 34 3h ah 2h 
b4 3b 32 3a b2 8b 38 a8 3a 35 
31 6h 3h a5 17 31 6a 63 a3 6a 
6h 6h 2h ah 8h 8h 7h 2a 24 25 
28 2h 4h 58 54 52 42 54 56 46 
24 26 84 86 28 25 2h 6h 2h 
