#367841854 Attempt: 1 NumFcs=3 (FCPro - Solved)
17 4c 4b c4 3c 7a 73 a3 78 76 
4a 46 a6 7a 74 c4 84 8c b8 4b 
14 16 71 47 b4 7b a7 8a 87 85 
56 a7 8a 83 85 48 b4 5b 65 b6 
4b 84 c8 48 b4 7c 7b 73 b3 c3 
2c 1b 17 13 12 b7 2b 21 b1 23 
2b ch 56 5c 25 62 63 c3 2c 32 
c3 2c b2 5b 52 b2 a5 4b 4a 47 
a7 87 b8 5b 5a 56 45 c6 1c 14 
c4 1c a1 b1 5b 5a c5 4c 45 c5 
4c 3h 64 63 43 a4 b4 6b 6a 62 
6h 6h 5h ah ch 61 3c b3 4b 4a 
34 32 c2 5c 65 b6 2b 42 54 c5 
4c 24 b2 6b 56 c5 2c 42 a4 b4 
5b 5a 25 c2 6c a6 c6 2c 52 3a 
35 a5 3a 31 a1 2a 25 c5 2c 21 
c1 2c 23 c3 1c 13 12 32 31 21 
23 c1 3c 32 c2 1c 12 c2 1c 13 
c3 2c 23 c3 2c 21 c1 5c 53 52 
51 21 31 35 32 c1 52 3c 35 c5 
2c 25 c5 3c 32 c2 3c 37 38 34 
