#369943405 Attempt: 1 NumFcs=3 (FCPro - Solved)
6c 65 6b 6a 68 38 36 a3 b3 4b 
4a 46 41 c1 6c 64 c4 3c 36 37 
53 67 c7 a6 7c 7a 78 a8 c8 6c 
b6 4b 4a 46 54 51 12 34 a6 b6 
56 3b 3a 38 c3 b3 7c 7b 43 75 
72 a5 7a 17 15 75 27 25 75 27 
52 57 27 25 7h 4h 26 b2 16 3b 
34 82 b4 5b 75 b7 3b 83 23 28 
38 32 a3 1a 82 13 b1 4b 41 b1 
4b 84 24 28 48 42 b4 1b 14 b4 
1b 18 12 b1 18 12 c1 3c 3b 82 
83 23 28 38 32 43 48 42 82 84 
32 83 43 24 23 43 24 28 48 34 
38 48 34 32 42 53 54 56 4h 84 
82 42 54 64 65 45 46 74 75 45 
87 84 4h 24 27 47 24 28 48 74 
78 48 c4 5c 35 a3 4a 54 c5 7c 
b7 a7 1b 1a c1 8c 81 c1 5c 45 
b4 3b 53 c5 4c a4 c4 5c 5a 56 
5h a6 c6 2c 2a ah 6a 36 c3 8c 
83 c3 8c 82 c2 8c 84 c4 1c 13 
c3 2c 24 c4 1c b1 5b 51 b1 57 
56 1b 15 17 b5 8b 81 b1 5b 57 
b7 8b 15 18 58 21 25 12 41 42 
12 41 48 18 21 28 18 21 24 14 
82 84 81 41 48 21 42 82 84 24 
28 a2 1a 14 18 62 61 a4 21 26 
8a 82 a2 3a 53 45 42 52 35 a3 
4a 48 16 a8 2a 28 a8 2a 24 a4 
3a 32 a2 8a 84 a4 2a 52 35 34 
54 25 24 a4 8a 82 a2 4a 54 a5 
4a 54 b5 8b 85 b5 2b 25 b5 8b 
82 
